patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
5.04,Paper Rex,EDward Gaming,Pearl,13,11,Fade,Sage,Chamber,Astra,Raze,Viper,Kayo,Fade,Chamber,Astra
5.04,Paper Rex,EDward Gaming,Icebox,5,13,Sage,Chamber,Jett,Viper,Fade,Viper,Sova,Chamber,Sage,Jett
5.04,Paper Rex,EDward Gaming,Haven,13,8,Reyna,Astra,Jett,Cypher,Skye,Chamber,Jett,Omen,Fade,Breach
5.04,LEVIATÁN,Team Liquid,Haven,13,10,Omen,Raze,Chamber,Breach,Fade,Chamber,Fade,Raze,Breach,Omen
5.04,LEVIATÁN,Team Liquid,Ascent,13,10,Chamber,Fade,Kayo,Astra,Sova,Omen,Phoenix,Fade,Chamber,Kayo
5.04,ZETA DIVISION,LOUD,Ascent,8,13,Astra,Kayo,Jett,Killjoy,Fade,Killjoy,Omen,Sova,Kayo,Jett
5.04,ZETA DIVISION,LOUD,Fracture,9,13,Chamber,Brimstone,Neon,Breach,Raze,Viper,Omen,Chamber,Fade,Raze
5.04,OpTic Gaming,BOOM Esports,Breeze,16,18,Sova,Chamber,Jett,Kayo,Viper,Viper,Kayo,Chamber,Sova,Jett
5.04,OpTic Gaming,BOOM Esports,Bind,13,5,Chamber,Skye,Viper,Brimstone,Raze,Raze,Astra,Fade,Viper,Skye
5.04,OpTic Gaming,BOOM Esports,Fracture,13,3,Chamber,Kayo,Breach,Neon,Brimstone,Brimstone,Breach,Chamber,Neon,Kayo
5.04,Paper Rex,LEVIATÁN,Haven,8,13,Astra,Chamber,Fade,Sage,Raze,Omen,Fade,Chamber,Raze,Breach
5.04,Paper Rex,LEVIATÁN,Bind,11,13,Fade,Raze,Breach,Yoru,Brimstone,Fade,Raze,Skye,Brimstone,Viper
5.04,DRX,FURIA,Ascent,16,14,Kayo,Fade,Sova,Jett,Astra,Kayo,Sova,Killjoy,Omen,Jett
5.04,DRX,FURIA,Haven,13,4,Jett,Omen,Breach,Killjoy,Fade,Chamber,Fade,Omen,Raze,Breach
