patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
6.02,KOI,NRG Esports,Icebox,11,13,Sova,Killjoy,Jett,Sage,Viper,Viper,Sova,Killjoy,Kayo,Sage
6.02,KOI,NRG Esports,Haven,9,13,Sova,Omen,Killjoy,Breach,Jett,Breach,Jett,Sova,Omen,Killjoy
6.02,DetonatioN FocusMe,Giants Gaming,Haven,4,13,Sova,Breach,Astra,Killjoy,Jett,Sova,Breach,Astra,Killjoy,Jett
6.02,DetonatioN FocusMe,Giants Gaming,Icebox,7,13,Viper,Killjoy,Raze,Sova,Kayo,Sage,Killjoy,Viper,Sova,Jett
6.02,FunPlus Phoenix,Karmine Corp,Lotus,6,13,Viper,Skye,Killjoy,Omen,Fade,Viper,Omen,Killjoy,Sova,Skye
6.02,FunPlus Phoenix,Karmine Corp,Haven,13,8,Chamber,Viper,Fade,Skye,Omen,Kayo,Omen,Breach,Cypher,Fade
6.02,FunPlus Phoenix,Karmine Corp,Pearl,6,13,Astra,Viper,Jett,Fade,Skye,Fade,Omen,Kayo,Cypher,Harbor
6.02,BBL Esports,DRX,Pearl,3,13,Yoru,Sova,Killjoy,Astra,Breach,Astra,Viper,Jett,Kayo,Sova
6.02,BBL Esports,DRX,Ascent,13,11,Kayo,Killjoy,Omen,Sova,Jett,Fade,Astra,Sova,Jett,Kayo
6.02,BBL Esports,DRX,Haven,7,13,Astra,Jett,Sova,Killjoy,Breach,Killjoy,Breach,Jett,Omen,Sova
6.02,Cloud9,Paper Rex,Lotus,13,8,Cypher,Skye,Chamber,Omen,Neon,Raze,Chamber,Sage,Omen,Skye
6.02,Cloud9,Paper Rex,Pearl,13,4,Killjoy,Skye,Phoenix,Sage,Astra,Sage,Astra,Fade,Killjoy,Jett
6.02,Team Heretics,Evil Geniuses,Pearl,8,13,Jett,Kayo,Breach,Cypher,Astra,Yoru,Fade,Killjoy,Astra,Jett
6.02,Team Heretics,Evil Geniuses,Ascent,8,13,Kayo,Killjoy,Jett,Omen,Sova,Kayo,Omen,Killjoy,Jett,Sova
6.02,MIBR,Talon Esports,Haven,8,13,Raze,Killjoy,Breach,Omen,Fade,Omen,Killjoy,Raze,Skye,Breach
6.02,MIBR,Talon Esports,Fracture,11,13,Breach,Kayo,Cypher,Brimstone,Neon,Kayo,Breach,Killjoy,Neon,Brimstone
6.02,Gen.G,LOUD,Pearl,9,13,Viper,Skye,Astra,Kayo,Jett,Skye,Killjoy,Jett,Viper,Harbor
6.02,Gen.G,LOUD,Fracture,12,14,Brimstone,Kayo,Raze,Breach,Neon,Brimstone,Killjoy,Jett,Breach,Raze
6.02,NRG Esports,Giants Gaming,Lotus,12,14,Omen,Viper,Killjoy,Sova,Skye,Raze,Breach,Omen,Sova,Killjoy
6.02,NRG Esports,Giants Gaming,Haven,13,1,Sova,Killjoy,Jett,Omen,Breach,Sova,Jett,Breach,Killjoy,Astra
6.02,NRG Esports,Giants Gaming,Icebox,13,7,Viper,Sage,Kayo,Sova,Killjoy,Killjoy,Sova,Viper,Sage,Jett
6.02,LOUD,Karmine Corp,Pearl,13,10,Viper,Harbor,Skye,Killjoy,Jett,Omen,Fade,Harbor,Cypher,Kayo
6.02,LOUD,Karmine Corp,Split,13,8,Viper,Jett,Raze,Skye,Astra,Astra,Breach,Raze,Kayo,Cypher
6.02,DRX,Cloud9,Pearl,3,13,Viper,Sova,Astra,Jett,Kayo,Killjoy,Phoenix,Skye,Astra,Sage
6.02,DRX,Cloud9,Haven,13,7,Omen,Jett,Breach,Sova,Killjoy,Chamber,Phoenix,Omen,Cypher,Skye
