patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
3.04,Papara SuperMassive,Acend,Bind,5,13,Viper,Jett,Sova,Astra,Skye,Sage,Raze,Brimstone,Skye,Viper
3.04,Papara SuperMassive,Acend,Ascent,9,13,Sage,Omen,Jett,Killjoy,Sova,Sage,Sova,Jett,Killjoy,Astra
3.04,G2 Esports,F4Q,Ascent,13,5,Sage,Skye,Sova,Jett,Astra,Sova,Astra,Raze,Killjoy,Reyna
3.04,G2 Esports,F4Q,Bind,9,13,Sova,Sage,Astra,Raze,Skye,Sova,Raze,Skye,Astra,Killjoy
3.04,G2 Esports,F4Q,Haven,13,8,Sage,Jett,Astra,Skye,Killjoy,Sova,Raze,Astra,Killjoy,Skye
3.04,100 Thieves,Liberty,Ascent,13,3,Kayo,Sova,Skye,Omen,Jett,Sova,Astra,Jett,Breach,Skye
3.04,100 Thieves,Liberty,Icebox,13,6,Reyna,Omen,Sova,Viper,Killjoy,Viper,Sova,Reyna,Sage,Jett
3.04,Vision Strikers,Paper Rex,Haven,13,9,Skye,Killjoy,Jett,Astra,Breach,Jett,Astra,Sova,Cypher,Skye
3.04,Vision Strikers,Paper Rex,Icebox,13,11,Viper,Sova,Sage,Jett,Killjoy,Jett,Sage,Killjoy,Viper,Sova
3.04,Gambit Esports,Crazy Raccoon,Bind,13,1,Viper,Astra,Sova,Jett,Skye,Jett,Breach,Skye,Raze,Astra
3.04,Gambit Esports,Crazy Raccoon,Icebox,13,1,Reyna,Sage,Sova,Jett,Viper,Sova,Jett,Viper,Sage,Skye
3.04,Keyd Stars,Envy,Icebox,13,15,Reyna,Jett,Viper,Sage,Sova,Sova,Jett,Raze,Viper,Killjoy
3.04,Keyd Stars,Envy,Bind,9,13,Jett,Sova,Sage,Astra,Raze,Jett,Viper,Sova,Raze,Astra
3.04,KRÜ Esports,ZETA DIVISION,Ascent,13,8,Astra,Skye,Jett,Sova,Killjoy,Sova,Reyna,Breach,Astra,Jett
3.04,KRÜ Esports,ZETA DIVISION,Split,5,13,Jett,Sage,Astra,Raze,Killjoy,Sage,Skye,Viper,Brimstone,Jett
3.04,KRÜ Esports,ZETA DIVISION,Bind,13,7,Raze,Skye,Sage,Viper,Brimstone,Reyna,Breach,Skye,Astra,Jett
3.04,Sentinels,G2 Esports,Split,13,6,Jett,Astra,Sage,Reyna,Viper,Killjoy,Raze,Jett,Astra,Sage
3.04,Sentinels,G2 Esports,Icebox,8,13,Reyna,Viper,Sage,Jett,Sova,Raze,Sova,Jett,Viper,Sage
3.04,Sentinels,G2 Esports,Haven,13,8,Phoenix,Jett,Sova,Astra,Cypher,Astra,Killjoy,Jett,Sage,Skye
3.04,Gambit Esports,100 Thieves,Ascent,13,5,Astra,Jett,Skye,Sova,Cypher,Skye,Omen,Jett,Sova,Kayo
3.04,Gambit Esports,100 Thieves,Icebox,11,13,Reyna,Jett,Viper,Sova,Sage,Reyna,Sova,Viper,Omen,Killjoy
3.04,Gambit Esports,100 Thieves,Split,10,13,Skye,Viper,Cypher,Astra,Jett,Viper,Astra,Jett,Kayo,Skye
3.04,Envy,KRÜ Esports,Icebox,13,9,Jett,Raze,Viper,Killjoy,Sova,Jett,Viper,Reyna,Sova,Sage
3.04,Envy,KRÜ Esports,Ascent,13,2,Sova,Astra,Jett,Skye,Killjoy,Astra,Sova,Jett,Killjoy,Skye
3.04,Vision Strikers,Acend,Haven,13,7,Jett,Skye,Astra,Breach,Killjoy,Jett,Killjoy,Skye,Phoenix,Omen
3.04,Vision Strikers,Acend,Icebox,13,9,Viper,Sova,Sage,Killjoy,Jett,Viper,Jett,Reyna,Sage,Sova
3.04,F4Q,Sentinels,Split,9,13,Killjoy,Astra,Sage,Skye,Raze,Jett,Reyna,Sage,Astra,Cypher
3.04,F4Q,Sentinels,Breeze,4,13,Jett,Killjoy,Viper,Reyna,Skye,Jett,Skye,Sova,Killjoy,Viper
3.04,F4Q,G2 Esports,Bind,3,13,Sova,Killjoy,Raze,Skye,Astra,Viper,Sova,Raze,Astra,Skye
3.04,F4Q,G2 Esports,Ascent,6,13,Raze,Astra,Sova,Killjoy,Skye,Sage,Sova,Skye,Jett,Astra
3.04,Keyd Stars,ZETA DIVISION,Breeze,13,3,Reyna,Jett,Viper,Killjoy,Sova,Sova,Cypher,Jett,Skye,Viper
3.04,Keyd Stars,ZETA DIVISION,Split,13,4,Jett,Raze,Sage,Astra,Killjoy,Skye,Sage,Viper,Jett,Brimstone
3.04,Crazy Raccoon,Liberty,Haven,13,9,Raze,Cypher,Brimstone,Jett,Skye,Jett,Breach,Astra,Cypher,Skye
3.04,Crazy Raccoon,Liberty,Split,13,8,Skye,Astra,Viper,Jett,Cypher,Raze,Viper,Astra,Killjoy,Skye
3.04,Paper Rex,Papara SuperMassive,Haven,14,12,Skye,Sova,Cypher,Jett,Astra,Killjoy,Jett,Omen,Sage,Sova
3.04,Paper Rex,Papara SuperMassive,Breeze,2,13,Skye,Viper,Killjoy,Jett,Sova,Sova,Cypher,Viper,Skye,Jett
3.04,Paper Rex,Papara SuperMassive,Split,10,13,Killjoy,Astra,Sage,Reyna,Jett,Astra,Sage,Raze,Skye,Cypher
3.04,G2 Esports,Sentinels,Icebox,13,3,Jett,Raze,Sage,Viper,Sova,Jett,Reyna,Sage,Sova,Viper
3.04,G2 Esports,Sentinels,Split,13,11,Astra,Reyna,Sage,Raze,Killjoy,Viper,Astra,Sage,Reyna,Jett
3.04,KRÜ Esports,Keyd Stars,Split,13,11,Raze,Killjoy,Jett,Sage,Astra,Astra,Killjoy,Jett,Raze,Sage
3.04,KRÜ Esports,Keyd Stars,Haven,13,11,Jett,Astra,Skye,Sage,Killjoy,Astra,Phoenix,Killjoy,Sova,Jett
3.04,Acend,Papara SuperMassive,Ascent,6,13,Sova,Sage,Killjoy,Jett,Astra,Jett,Sova,Omen,Sage,Killjoy
3.04,Acend,Papara SuperMassive,Bind,13,7,Skye,Sage,Brimstone,Raze,Viper,Astra,Sova,Viper,Skye,Jett
3.04,Acend,Papara SuperMassive,Split,13,10,Raze,Jett,Sage,Cypher,Omen,Sage,Skye,Cypher,Raze,Astra
3.04,Gambit Esports,Crazy Raccoon,Ascent,13,8,Cypher,Sova,Skye,Jett,Astra,Astra,Cypher,Viper,Raze,Skye
3.04,Gambit Esports,Crazy Raccoon,Icebox,14,12,Jett,Sova,Viper,Reyna,Sage,Viper,Reyna,Sova,Jett,Sage
3.04,Sentinels,F4Q,Breeze,13,3,Jett,Sova,Killjoy,Viper,Skye,Jett,Killjoy,Skye,Yoru,Viper
3.04,Sentinels,F4Q,Split,9,13,Astra,Sage,Cypher,Reyna,Jett,Reyna,Raze,Astra,Sage,Killjoy
3.04,Sentinels,F4Q,Haven,13,4,Sova,Phoenix,Astra,Jett,Cypher,Astra,Raze,Reyna,Sova,Killjoy
3.04,Vision Strikers,Gambit Esports,Bind,2,13,Breach,Astra,Skye,Jett,Raze,Viper,Sova,Jett,Astra,Skye
3.04,Vision Strikers,Gambit Esports,Split,13,7,Skye,Jett,Astra,Sage,Killjoy,Viper,Jett,Astra,Cypher,Skye
3.04,Vision Strikers,Gambit Esports,Icebox,8,13,Jett,Viper,Sage,Killjoy,Sova,Sova,Reyna,Jett,Viper,Sage
3.04,G2 Esports,KRÜ Esports,Icebox,13,9,Jett,Sage,Sova,Raze,Viper,Reyna,Sage,Jett,Viper,Sova
3.04,G2 Esports,KRÜ Esports,Haven,13,7,Jett,Sova,Killjoy,Phoenix,Omen,Jett,Astra,Killjoy,Skye,Sage
3.04,100 Thieves,Acend,Ascent,9,13,Sova,Astra,Killjoy,Skye,Jett,Jett,Sova,Sage,Killjoy,Astra
3.04,100 Thieves,Acend,Haven,13,8,Sova,Jett,Skye,Astra,Killjoy,Jett,Cypher,Astra,Skye,Phoenix
3.04,100 Thieves,Acend,Breeze,14,12,Jett,Viper,Reyna,Sova,Skye,Jett,Sova,Skye,Cypher,Viper
3.04,Envy,Sentinels,Haven,15,13,Jett,Sova,Astra,Skye,Killjoy,Jett,Sova,Astra,Cypher,Phoenix
3.04,Envy,Sentinels,Split,13,7,Jett,Skye,Astra,Viper,Cypher,Skye,Viper,Astra,Jett,Raze
3.04,Gambit Esports,G2 Esports,Breeze,13,10,Cypher,Jett,Skye,Viper,Sova,Jett,Viper,Reyna,Skye,Sova
3.04,Gambit Esports,G2 Esports,Icebox,13,0,Sova,Reyna,Viper,Jett,Sage,Viper,Jett,Sage,Reyna,Sova
