patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
5.0,DRX,NORTHEPTION,Ascent,13,8,Jett,Kayo,Fade,Killjoy,Omen,Jett,Kayo,Fade,Killjoy,Astra
5.0,DRX,NORTHEPTION,Bind,13,1,Viper,Brimstone,Chamber,Raze,Skye,Neon,Fade,Chamber,Brimstone,Breach
5.0,LOUD,KRÜ Esports,Fracture,13,10,Sage,Brimstone,Raze,Breach,Chamber,Chamber,Raze,Sage,Brimstone,Breach
5.0,LOUD,KRÜ Esports,Haven,9,13,Omen,Breach,Raze,Fade,Chamber,Raze,Breach,Fade,Chamber,Omen
5.0,LOUD,KRÜ Esports,Icebox,10,13,Viper,Sage,Fade,Chamber,Kayo,Sage,Sova,Viper,Kayo,Chamber
5.0,OpTic Gaming,Guild Esports,Icebox,11,13,Brimstone,Fade,Kayo,Viper,Chamber,Chamber,Sova,Viper,Kayo,Sage
5.0,OpTic Gaming,Guild Esports,Split,14,16,Astra,Fade,Kayo,Raze,Chamber,Breach,Raze,Sage,Cypher,Omen
5.0,FunPlus Phoenix,XERXIA Esports,Bind,14,12,Kayo,Viper,Brimstone,Raze,Fade,Viper,Brimstone,Chamber,Raze,Skye
5.0,FunPlus Phoenix,XERXIA Esports,Ascent,9,13,Chamber,Sage,Fade,Kayo,Omen,Jett,Fade,Astra,Kayo,Killjoy
5.0,FunPlus Phoenix,XERXIA Esports,Haven,13,10,Chamber,Raze,Fade,Omen,Kayo,Jett,Astra,Killjoy,Skye,Breach
5.0,Guild Esports,KRÜ Esports,Bind,12,14,Fade,Skye,Raze,Astra,Viper,Raze,Brimstone,Chamber,Skye,Viper
5.0,Guild Esports,KRÜ Esports,Fracture,13,6,Raze,Chamber,Breach,Brimstone,Sage,Raze,Breach,Brimstone,Chamber,Sage
5.0,Guild Esports,KRÜ Esports,Icebox,16,14,Kayo,Sova,Viper,Chamber,Sage,Sage,Chamber,Kayo,Viper,Sova
5.0,FunPlus Phoenix,DRX,Haven,13,8,Fade,Chamber,Raze,Omen,Breach,Jett,Astra,Breach,Killjoy,Sova
5.0,FunPlus Phoenix,DRX,Fracture,6,13,Chamber,Raze,Fade,Viper,Omen,Kayo,Brimstone,Chamber,Fade,Neon
5.0,FunPlus Phoenix,DRX,Breeze,6,13,Jett,Chamber,Kayo,Viper,Fade,Skye,Chamber,Viper,Sova,Jett
5.0,XERXIA Esports,NORTHEPTION,Split,13,9,Chamber,Fade,Breach,Omen,Raze,Chamber,Breach,Jett,Omen,Sage
5.0,XERXIA Esports,NORTHEPTION,Haven,8,13,Sova,Killjoy,Astra,Breach,Jett,Jett,Killjoy,Breach,Skye,Omen
5.0,XERXIA Esports,NORTHEPTION,Bind,13,15,Viper,Chamber,Brimstone,Skye,Raze,Chamber,Skye,Raze,Viper,Brimstone
5.0,OpTic Gaming,LOUD,Ascent,8,13,Sova,Fade,Chamber,Kayo,Astra,Jett,Kayo,Omen,Sova,Killjoy
5.0,OpTic Gaming,LOUD,Fracture,13,8,Chamber,Brimstone,Neon,Kayo,Breach,Raze,Sage,Brimstone,Chamber,Breach
5.0,OpTic Gaming,LOUD,Split,14,12,Raze,Chamber,Kayo,Astra,Fade,Fade,Viper,Raze,Breach,Astra
5.0,FunPlus Phoenix,NORTHEPTION,Fracture,13,9,Chamber,Raze,Fade,Viper,Omen,Breach,Chamber,Raze,Neon,Brimstone
5.0,FunPlus Phoenix,NORTHEPTION,Ascent,13,9,Chamber,Fade,Omen,Kayo,Sage,Killjoy,Chamber,Fade,Astra,Kayo
5.0,KRÜ Esports,OpTic Gaming,Split,7,13,Viper,Chamber,Raze,Astra,Skye,Astra,Chamber,Kayo,Raze,Fade
5.0,KRÜ Esports,OpTic Gaming,Haven,6,13,Fade,Raze,Chamber,Breach,Omen,Omen,Chamber,Neon,Breach,Skye
5.0,Paper Rex,Guild Esports,Ascent,13,4,Fade,Astra,Raze,Kayo,Chamber,Chamber,Raze,Fade,Astra,Kayo
5.0,Paper Rex,Guild Esports,Fracture,14,12,Chamber,Viper,Neon,Breach,Sage,Brimstone,Chamber,Breach,Raze,Sage
