patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
8.04,Karmine Corp,FunPlus Phoenix,Icebox,13,8,Gekko,Jett,Killjoy,Sage,Viper,Reyna,Gekko,Jett,Omen,Viper
8.04,Karmine Corp,FunPlus Phoenix,Lotus,13,10,Fade,Killjoy,Omen,Viper,Raze,Chamber,Raze,Gekko,Omen,Viper
8.04,Gen.G,LOUD,Icebox,13,11,Jett,Viper,Kayo,Killjoy,Gekko,Viper,Killjoy,Harbor,Sova,Jett
8.04,Gen.G,LOUD,Breeze,8,13,Viper,Jett,Astra,Sova,Yoru,Viper,Cypher,Jett,Kayo,Sova
8.04,Gen.G,LOUD,Ascent,13,5,Omen,Killjoy,Jett,Kayo,Sova,Viper,Omen,Yoru,Kayo,Breach
8.04,EDward Gaming,Paper Rex,Sunset,8,13,Kayo,Sova,Omen,Cypher,Raze,Sage,Gekko,Viper,Omen,Kayo
8.04,EDward Gaming,Paper Rex,Bind,13,9,Brimstone,Cypher,Kayo,Raze,Sova,Harbor,Reyna,Fade,Brimstone,Raze
8.04,EDward Gaming,Paper Rex,Split,13,9,Raze,Skye,Breach,Viper,Omen,Yoru,Omen,Viper,Raze,Jett
8.04,Sentinels,Team Heretics,Lotus,13,9,Killjoy,Omen,Fade,Raze,Viper,Neon,Omen,Killjoy,Gekko,Viper
8.04,Sentinels,Team Heretics,Sunset,5,13,Raze,Gekko,Cypher,Omen,Kayo,Sova,Neon,Kayo,Cypher,Omen
8.04,Sentinels,Team Heretics,Bind,13,11,Raze,Brimstone,Gekko,Viper,Skye,Sova,Kayo,Yoru,Astra,Viper
8.04,Sentinels,Karmine Corp,Split,13,8,Raze,Omen,Cypher,Skye,Viper,Astra,Yoru,Raze,Fade,Omen
8.04,Sentinels,Karmine Corp,Lotus,13,11,Viper,Omen,Killjoy,Fade,Raze,Fade,Killjoy,Omen,Raze,Viper
8.04,EDward Gaming,Gen.G,Icebox,13,8,Jett,Sova,Killjoy,Kayo,Viper,Viper,Killjoy,Kayo,Jett,Gekko
8.04,EDward Gaming,Gen.G,Split,5,13,Raze,Breach,Omen,Skye,Viper,Jett,Raze,Skye,Viper,Omen
8.04,EDward Gaming,Gen.G,Breeze,6,13,Jett,Sova,Viper,Kayo,Cypher,Sova,Yoru,Astra,Viper,Jett
8.04,FunPlus Phoenix,LOUD,Sunset,5,13,Phoenix,Chamber,Harbor,Viper,Sova,Sova,Omen,Viper,Breach,Phoenix
8.04,FunPlus Phoenix,LOUD,Breeze,11,13,Yoru,Viper,Jett,Astra,Sova,Cypher,Kayo,Sova,Viper,Jett
8.04,Team Heretics,Paper Rex,Sunset,10,13,Sova,Neon,Cypher,Omen,Kayo,Gekko,Kayo,Omen,Viper,Sage
8.04,Team Heretics,Paper Rex,Lotus,13,10,Neon,Killjoy,Gekko,Omen,Viper,Jett,Skye,Omen,Cypher,Raze
8.04,Team Heretics,Paper Rex,Split,7,13,Cypher,Omen,Breach,Raze,Viper,Raze,Skye,Jett,Omen,Viper
8.04,LOUD,EDward Gaming,Icebox,13,2,Viper,Sova,Killjoy,Harbor,Jett,Kayo,Sova,Killjoy,Viper,Jett
8.04,LOUD,EDward Gaming,Sunset,13,3,Phoenix,Omen,Breach,Sova,Viper,Raze,Kayo,Sova,Cypher,Omen
8.04,Karmine Corp,Paper Rex,Bind,10,13,Raze,Skye,Yoru,Omen,Viper,Raze,Skye,Brimstone,Reyna,Harbor
8.04,Karmine Corp,Paper Rex,Lotus,13,6,Fade,Killjoy,Omen,Raze,Viper,Skye,Jett,Omen,Raze,Astra
8.04,Karmine Corp,Paper Rex,Ascent,12,14,Jett,Breach,Kayo,Omen,Fade,Fade,Gekko,Raze,Omen,Viper
8.04,Gen.G,Paper Rex,Split,13,8,Viper,Raze,Skye,Omen,Jett,Omen,Raze,Skye,Jett,Viper
8.04,Gen.G,Paper Rex,Lotus,13,9,Killjoy,Raze,Viper,Omen,Fade,Skye,Jett,Cypher,Raze,Omen
8.04,Sentinels,LOUD,Split,13,4,Viper,Omen,Cypher,Raze,Skye,Breach,Omen,Raze,Viper,Skye
8.04,Sentinels,LOUD,Icebox,12,14,Viper,Jett,Killjoy,Kayo,Gekko,Viper,Harbor,Killjoy,Jett,Sova
8.04,Sentinels,LOUD,Sunset,14,12,Cypher,Omen,Gekko,Raze,Kayo,Phoenix,Omen,Sova,Viper,Breach
8.04,Gen.G,Sentinels,Split,13,5,Viper,Jett,Raze,Omen,Skye,Viper,Cypher,Skye,Omen,Raze
8.04,Gen.G,Sentinels,Lotus,7,13,Killjoy,Omen,Viper,Fade,Raze,Raze,Viper,Fade,Killjoy,Omen
8.04,Gen.G,Sentinels,Breeze,13,3,Yoru,Jett,Viper,Astra,Sova,Sova,Cypher,Viper,Jett,Kayo
8.04,Paper Rex,LOUD,Ascent,13,11,Gekko,Fade,Omen,Raze,Viper,Omen,Breach,Viper,Kayo,Phoenix
8.04,Paper Rex,LOUD,Sunset,13,8,Gekko,Viper,Omen,Kayo,Sage,Breach,Viper,Omen,Sova,Phoenix
8.04,Sentinels,Paper Rex,Lotus,14,12,Raze,Omen,Viper,Fade,Killjoy,Jett,Omen,Skye,Cypher,Raze
8.04,Sentinels,Paper Rex,Ascent,13,6,Jett,Omen,Sova,Killjoy,Kayo,Fade,Raze,Viper,Gekko,Omen
8.04,Sentinels,Paper Rex,Split,5,13,Raze,Skye,Viper,Cypher,Omen,Raze,Skye,Omen,Viper,Jett
8.04,Sentinels,Paper Rex,Sunset,13,3,Omen,Cypher,Raze,Kayo,Gekko,Gekko,Sage,Kayo,Omen,Viper
8.04,Gen.G,Sentinels,Breeze,13,8,Astra,Viper,Sova,Yoru,Jett,Kayo,Jett,Viper,Cypher,Sova
8.04,Gen.G,Sentinels,Bind,12,14,Cypher,Brimstone,Viper,Skye,Raze,Skye,Brimstone,Raze,Gekko,Viper
8.04,Gen.G,Sentinels,Ascent,13,8,Kayo,Sova,Jett,Killjoy,Omen,Omen,Sova,Jett,Killjoy,Kayo
8.04,Gen.G,Sentinels,Split,10,13,Raze,Jett,Omen,Viper,Skye,Raze,Cypher,Omen,Skye,Viper
8.04,Gen.G,Sentinels,Icebox,6,13,Kayo,Jett,Viper,Gekko,Killjoy,Killjoy,Viper,Kayo,Gekko,Jett
