patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
8.09,G2 Esports,T1,Breeze,13,8,Cypher,Sova,Viper,Astra,Yoru,Harbor,Sova,Yoru,Jett,Viper
8.09,G2 Esports,T1,Icebox,1,13,Killjoy,Viper,Sova,Gekko,Harbor,Viper,Sova,Sage,Chamber,Reyna
8.09,G2 Esports,T1,Lotus,14,12,Killjoy,Omen,Viper,Raze,Fade,Fade,Raze,Omen,Viper,Chamber
8.09,FunPlus Phoenix,FUT Esports,Sunset,13,7,Yoru,Cypher,Harbor,Omen,Fade,Cypher,Gekko,Omen,Breach,Raze
8.09,FunPlus Phoenix,FUT Esports,Lotus,12,14,Astra,Raze,Viper,Gekko,Omen,Jett,Omen,Viper,Cypher,Breach
8.09,FunPlus Phoenix,FUT Esports,Icebox,13,10,Harbor,Kayo,Gekko,Clove,Omen,Jett,Sova,Killjoy,Viper,Kayo
8.09,Gen.G,LEVIATÁN,Icebox,7,13,Killjoy,Gekko,Kayo,Viper,Jett,Jett,Killjoy,Sova,Harbor,Viper
8.09,Gen.G,LEVIATÁN,Lotus,13,5,Raze,Omen,Viper,Fade,Killjoy,Viper,Killjoy,Raze,Omen,Fade
8.09,Gen.G,LEVIATÁN,Breeze,13,7,Astra,Sova,Yoru,Viper,Jett,Jett,Cypher,Kayo,Viper,Sova
8.09,Team Heretics,Dragon Ranger Gaming,Icebox,13,5,Kayo,Jett,Killjoy,Sova,Viper,Killjoy,Sova,Jett,Viper,Harbor
8.09,Team Heretics,Dragon Ranger Gaming,Sunset,13,5,Raze,Kayo,Sova,Omen,Cypher,Kayo,Cypher,Omen,Raze,Gekko
8.09,FunPlus Phoenix,Gen.G,Lotus,16,14,Raze,Astra,Viper,Gekko,Omen,Raze,Omen,Killjoy,Viper,Fade
8.09,FunPlus Phoenix,Gen.G,Sunset,7,13,Yoru,Fade,Cypher,Omen,Harbor,Jett,Omen,Cypher,Kayo,Sova
8.09,FunPlus Phoenix,Gen.G,Ascent,11,13,Omen,Fade,Viper,Yoru,Killjoy,Killjoy,Jett,Sova,Omen,Kayo
8.09,G2 Esports,Team Heretics,Lotus,9,13,Raze,Killjoy,Viper,Omen,Fade,Breach,Cypher,Fade,Raze,Omen
8.09,G2 Esports,Team Heretics,Bind,13,6,Raze,Viper,Gekko,Skye,Brimstone,Sova,Omen,Raze,Skye,Viper
8.09,G2 Esports,Team Heretics,Split,13,8,Breach,Omen,Viper,Raze,Fade,Raze,Viper,Skye,Omen,Cypher
8.09,LEVIATÁN,T1,Breeze,13,9,Kayo,Viper,Jett,Cypher,Sova,Yoru,Viper,Harbor,Jett,Sova
8.09,LEVIATÁN,T1,Sunset,13,7,Raze,Gekko,Cypher,Omen,Breach,Raze,Breach,Sage,Gekko,Omen
8.09,Dragon Ranger Gaming,FUT Esports,Bind,10,13,Raze,Cypher,Brimstone,Harbor,Skye,Viper,Raze,Skye,Kayo,Omen
8.09,Dragon Ranger Gaming,FUT Esports,Ascent,12,14,Omen,Jett,Cypher,Kayo,Sova,Jett,Kayo,Sova,Killjoy,Omen
8.09,FunPlus Phoenix,Team Heretics,Sunset,4,13,Cypher,Omen,Yoru,Fade,Harbor,Raze,Cypher,Kayo,Sova,Omen
