patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
6.10,FUT Esports,Evil Geniuses,Split,5,13,Cypher,Astra,Skye,Kayo,Jett,Viper,Skye,Raze,Jett,Astra
6.10,FUT Esports,Evil Geniuses,Lotus,12,14,Viper,Omen,Kayo,Killjoy,Neon,Killjoy,Skye,Jett,Omen,Breach
6.10,DRX,Attacking Soul Esports,Fracture,13,10,Brimstone,Fade,Killjoy,Breach,Raze,Jett,Breach,Killjoy,Brimstone,Raze
6.10,DRX,Attacking Soul Esports,Pearl,13,7,Harbor,Killjoy,Viper,Skye,Jett,Kayo,Jett,Viper,Skye,Harbor
6.10,EDward Gaming,T1,Fracture,10,13,Jett,Breach,Brimstone,Skye,Killjoy,Raze,Brimstone,Jett,Killjoy,Breach
6.10,EDward Gaming,T1,Haven,13,7,Breach,Cypher,Jett,Sova,Omen,Sova,Jett,Killjoy,Omen,Breach
6.10,EDward Gaming,T1,Pearl,12,14,Killjoy,Viper,Jett,Harbor,Skye,Killjoy,Viper,Jett,Harbor,Skye
6.10,NRG Esports,Natus Vincere,Ascent,13,8,Omen,Sova,Jett,Kayo,Killjoy,Cypher,Jett,Fade,Kayo,Omen
6.10,NRG Esports,Natus Vincere,Lotus,12,14,Viper,Killjoy,Neon,Skye,Omen,Viper,Raze,Omen,Killjoy,Fade
6.10,NRG Esports,Natus Vincere,Split,13,6,Skye,Astra,Jett,Raze,Viper,Raze,Viper,Omen,Skye,Killjoy
6.10,DRX,Evil Geniuses,Fracture,5,13,Fade,Killjoy,Raze,Brimstone,Breach,Raze,Killjoy,Brimstone,Breach,Sova
6.10,DRX,Evil Geniuses,Ascent,9,13,Omen,Jett,Sova,Killjoy,Kayo,Jett,Kayo,Sova,Omen,Killjoy
6.10,NRG Esports,T1,Lotus,11,13,Killjoy,Omen,Skye,Neon,Viper,Skye,Killjoy,Jett,Viper,Harbor
6.10,NRG Esports,T1,Bind,13,7,Raze,Harbor,Viper,Skye,Sage,Raze,Skye,Viper,Gekko,Harbor
6.10,NRG Esports,T1,Pearl,13,11,Harbor,Jett,Killjoy,Skye,Viper,Harbor,Killjoy,Viper,Jett,Skye
6.10,Attacking Soul Esports,FUT Esports,Haven,13,8,Breach,Killjoy,Omen,Sova,Jett,Jett,Breach,Omen,Killjoy,Gekko
6.10,Attacking Soul Esports,FUT Esports,Ascent,5,13,Omen,Kayo,Killjoy,Jett,Sova,Jett,Sova,Kayo,Omen,Killjoy
6.10,Attacking Soul Esports,FUT Esports,Lotus,6,13,Jett,Killjoy,Breach,Skye,Omen,Kayo,Viper,Killjoy,Neon,Omen
6.10,Natus Vincere,EDward Gaming,Pearl,15,17,Astra,Kayo,Jett,Killjoy,Sova,Killjoy,Jett,Harbor,Skye,Viper
6.10,Natus Vincere,EDward Gaming,Bind,12,14,Brimstone,Viper,Raze,Kayo,Skye,Viper,Skye,Gekko,Harbor,Jett
6.10,DRX,FUT Esports,Bind,9,13,Kayo,Raze,Skye,Viper,Brimstone,Raze,Fade,Viper,Brimstone,Kayo
