year,team1Encoded,team2Encoded,encodedMapName,team1Score,team2Score,agent1Encoded,agent2Encoded,agent3Encoded,agent4Encoded,agent5Encoded,agent6Encoded,agent7Encoded,agent8Encoded,agent9Encoded,agent10Encoded,team1Agents,team2Agents
2021,23,5,4,13,6,12,14,8,19,13,13,14,11,12,19,"12, 14, 8, 19, 13","13, 14, 11, 12, 19"
2021,23,5,3,5,13,14,6,12,8,13,11,6,13,21,14,"14, 6, 12, 8, 13","11, 6, 13, 21, 14"
2021,23,5,7,13,10,12,13,14,8,19,13,19,14,8,21,"12, 13, 14, 8, 19","13, 19, 14, 8, 21"
2021,22,50,4,6,13,14,11,8,13,19,11,14,8,13,18,"14, 11, 8, 13, 19","11, 14, 8, 13, 18"
2021,22,50,7,3,13,14,8,11,13,19,8,14,18,11,13,"14, 8, 11, 13, 19","8, 14, 18, 11, 13"
2021,38,60,2,13,8,12,11,13,19,14,8,14,1,13,19,"12, 11, 13, 19, 14","8, 14, 1, 13, 19"
2021,38,60,8,12,14,8,11,19,21,13,13,1,19,21,8,"8, 11, 19, 21, 13","13, 1, 19, 21, 8"
2021,38,60,3,13,6,1,14,21,13,11,8,21,14,1,13,"1, 14, 21, 13, 11","8, 21, 14, 1, 13"
2021,1,64,2,13,15,8,13,6,14,1,21,6,13,8,14,"8, 13, 6, 14, 1","21, 6, 13, 8, 14"
2021,1,64,4,8,13,18,14,13,6,8,13,8,18,14,19,"18, 14, 13, 6, 8","13, 8, 18, 14, 19"
2021,5,22,2,13,8,1,11,14,6,13,8,11,13,19,14,"1, 11, 14, 6, 13","8, 11, 13, 19, 14"
2021,5,22,4,13,11,19,11,12,14,13,14,8,11,19,13,"19, 11, 12, 14, 13","14, 8, 11, 19, 13"
2021,60,1,8,11,13,13,8,21,1,19,1,8,13,6,21,"13, 8, 21, 1, 19","1, 8, 13, 6, 21"
2021,60,1,4,13,9,11,1,14,19,13,8,13,18,14,6,"11, 1, 14, 19, 13","8, 13, 18, 14, 6"
2021,60,1,7,13,10,13,19,8,12,14,13,1,14,19,8,"13, 19, 8, 12, 14","13, 1, 14, 19, 8"
