patchID,team1_Name,team2_Name,mapName,team1Score,team2Score,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10
2.04,Envy,Gen.G,Haven,13,6,Phoenix,Sova,Raze,Cypher,Omen,Omen,Sova,Jett,Phoenix,Cypher
2.04,Envy,Gen.G,Icebox,5,13,Sova,Killjoy,Phoenix,Raze,Omen,Jett,Killjoy,Omen,Sage,Sova
2.04,Envy,Gen.G,Bind,13,10,Phoenix,Omen,Sova,Raze,Cypher,Omen,Cypher,Sova,Raze,Sage
2.04,XSET,FaZe Clan,Haven,6,13,Sova,Jett,Raze,Omen,Cypher,Jett,Sova,Raze,Omen,Breach
2.04,XSET,FaZe Clan,Bind,3,13,Sova,Raze,Jett,Omen,Cypher,Raze,Sova,Breach,Jett,Omen
2.04,Sentinels,Luminosity,Ascent,13,8,Phoenix,Jett,Omen,Cypher,Sova,Raze,Sova,Reyna,Omen,Cypher
2.04,Sentinels,Luminosity,Split,12,14,Raze,Jett,Cypher,Sage,Omen,Omen,Reyna,Cypher,Sage,Raze
2.04,Sentinels,Luminosity,Icebox,13,6,Reyna,Sova,Sage,Omen,Jett,Raze,Sage,Sova,Reyna,Omen
2.04,Immortals,100 Thieves,Ascent,13,15,Raze,Omen,Killjoy,Sova,Reyna,Sage,Killjoy,Omen,Raze,Sova
2.04,Immortals,100 Thieves,Haven,8,13,Breach,Sova,Omen,Killjoy,Raze,Omen,Raze,Breach,Sova,Cypher
2.04,Gen.G,XSET,Ascent,13,8,Reyna,Jett,Sova,Killjoy,Omen,Raze,Jett,Omen,Cypher,Sova
2.04,Gen.G,XSET,Haven,13,11,Cypher,Jett,Phoenix,Sova,Omen,Sova,Raze,Jett,Cypher,Omen
2.04,Luminosity,Immortals,Split,11,13,Omen,Raze,Sage,Reyna,Cypher,Reyna,Raze,Omen,Killjoy,Sage
2.04,Luminosity,Immortals,Haven,13,9,Jett,Reyna,Sova,Cypher,Omen,Raze,Omen,Breach,Sova,Killjoy
2.04,Luminosity,Immortals,Bind,13,10,Omen,Cypher,Raze,Phoenix,Sova,Omen,Reyna,Sova,Cypher,Raze
2.04,Envy,FaZe Clan,Icebox,6,13,Raze,Omen,Sova,Killjoy,Phoenix,Raze,Jett,Sage,Omen,Sova
2.04,Envy,FaZe Clan,Bind,8,13,Sova,Raze,Phoenix,Omen,Cypher,Jett,Raze,Omen,Sova,Breach
2.04,Sentinels,100 Thieves,Ascent,13,2,Phoenix,Jett,Sova,Cypher,Omen,Raze,Omen,Killjoy,Sova,Sage
2.04,Sentinels,100 Thieves,Haven,16,14,Jett,Phoenix,Sova,Cypher,Omen,Omen,Breach,Raze,Cypher,Sova
2.04,100 Thieves,Gen.G,Ascent,6,13,Raze,Sova,Omen,Killjoy,Sage,Omen,Sova,Killjoy,Reyna,Jett
2.04,100 Thieves,Gen.G,Icebox,11,13,Raze,Sage,Omen,Killjoy,Sova,Jett,Killjoy,Sage,Omen,Sova
2.04,Envy,Luminosity,Haven,13,8,Raze,Phoenix,Sova,Omen,Cypher,Cypher,Jett,Sova,Reyna,Omen
2.04,Envy,Luminosity,Ascent,13,10,Phoenix,Sova,Killjoy,Raze,Omen,Raze,Jett,Omen,Sova,Cypher
2.04,FaZe Clan,Sentinels,Icebox,5,13,Raze,Jett,Sova,Sage,Omen,Reyna,Omen,Jett,Sova,Sage
2.04,FaZe Clan,Sentinels,Haven,8,13,Jett,Sova,Raze,Breach,Omen,Phoenix,Jett,Cypher,Sova,Omen
2.04,Gen.G,Envy,Ascent,4,13,Killjoy,Reyna,Jett,Sova,Omen,Phoenix,Omen,Raze,Sova,Killjoy
2.04,Gen.G,Envy,Haven,13,10,Sova,Phoenix,Jett,Omen,Cypher,Phoenix,Raze,Omen,Cypher,Sova
2.04,Gen.G,Envy,Bind,13,8,Omen,Raze,Cypher,Sova,Jett,Raze,Sova,Phoenix,Cypher,Omen
2.04,FaZe Clan,Gen.G,Ascent,13,8,Jett,Raze,Omen,Sova,Killjoy,Reyna,Killjoy,Jett,Sova,Omen
2.04,FaZe Clan,Gen.G,Bind,13,9,Jett,Omen,Sova,Raze,Breach,Raze,Cypher,Omen,Sova,Sage
2.04,Sentinels,FaZe Clan,Ascent,13,11,Jett,Omen,Cypher,Phoenix,Sova,Jett,Killjoy,Raze,Omen,Sova
2.04,Sentinels,FaZe Clan,Bind,13,7,Cypher,Reyna,Raze,Sova,Omen,Raze,Jett,Breach,Omen,Sova
2.04,Sentinels,FaZe Clan,Haven,13,4,Cypher,Phoenix,Jett,Omen,Sova,Jett,Phoenix,Omen,Sova,Breach
2.09,FNATIC,KRÜ Esports,Haven,13,5,Sage,Jett,Killjoy,Skye,Astra,Viper,Sage,Killjoy,Skye,Astra
2.09,FNATIC,KRÜ Esports,Icebox,13,4,Jett,Killjoy,Viper,Sova,Sage,Killjoy,Viper,Sova,Sage,Jett
2.09,Version1,Crazy Raccoon,Ascent,13,11,Phoenix,Killjoy,Jett,Sova,Astra,Raze,Astra,Sova,Jett,Killjoy
2.09,Version1,Crazy Raccoon,Icebox,13,10,Jett,Phoenix,Sova,Omen,Viper,Killjoy,Raze,Sova,Jett,Omen
2.09,Sharks Esports,NUTURN,Haven,13,5,Sage,Sova,Raze,Killjoy,Omen,Sova,Jett,Astra,Raze,Breach
2.09,Sharks Esports,NUTURN,Bind,5,13,Skye,Viper,Brimstone,Raze,Sova,Omen,Sova,Raze,Jett,Breach
2.09,Sharks Esports,NUTURN,Ascent,5,13,Raze,Omen,Sova,Phoenix,Killjoy,Sova,Killjoy,Skye,Astra,Jett
2.09,Team Vikings,X10 Esports,Icebox,13,11,Jett,Sova,Killjoy,Raze,Omen,Jett,Cypher,Skye,Viper,Sova
2.09,Team Vikings,X10 Esports,Ascent,14,12,Sova,Killjoy,Omen,Raze,Phoenix,Sage,Sova,Killjoy,Astra,Skye
2.09,Team Liquid,Version1,Split,16,14,Viper,Sage,Skye,Brimstone,Jett,Jett,Sage,Astra,Viper,Killjoy
2.09,Team Liquid,Version1,Ascent,11,13,Jett,Phoenix,Killjoy,Sova,Omen,Jett,Killjoy,Sova,Astra,Viper
