year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2021,Envy,Gen.G,Envy,Haven,13,6,"Cypher, Omen, Phoenix, Raze, Sova","Cypher, Jett, Omen, Phoenix, Sova","Phoenix, Sova, Raze, Cypher, Omen, Omen, Sova, Jett, Phoenix, Cypher"
2021,Envy,Gen.G,Gen.G,Icebox,5,13,"Killjoy, Omen, Phoenix, Raze, Sova","Jett, Killjoy, Omen, Sage, Sova","Sova, Killjoy, Phoenix, Raze, Omen, Jett, Killjoy, Omen, Sage, Sova"
2021,Envy,Gen.G,Envy,Bind,13,10,"Cypher, Omen, Phoenix, Raze, Sova","Cypher, Omen, Raze, Sage, Sova","Phoenix, Omen, Sova, Raze, Cypher, Omen, Cypher, Sova, Raze, Sage"
2021,XSET,FaZe Clan,FaZe Clan,Haven,6,13,"Cypher, Jett, Omen, Raze, Sova","Breach, Jett, Omen, Raze, Sova","Sova, Jett, Raze, Omen, Cypher, Jett, Sova, Raze, Omen, Breach"
2021,XSET,FaZe Clan,FaZe Clan,Bind,3,13,"Cypher, Jett, Omen, Raze, Sova","Breach, Jett, Omen, Raze, Sova","Sova, Raze, Jett, Omen, Cypher, Raze, Sova, Breach, Jett, Omen"
2021,Sentinels,Luminosity,Sentinels,Ascent,13,8,"Cypher, Jett, Omen, Phoenix, Sova","Cypher, Omen, Raze, Reyna, Sova","Phoenix, Jett, Omen, Cypher, Sova, Raze, Sova, Reyna, Omen, Cypher"
2021,Sentinels,Luminosity,Luminosity,Split,12,14,"Cypher, Jett, Omen, Raze, Sage","Cypher, Omen, Raze, Reyna, Sage","Raze, Jett, Cypher, Sage, Omen, Omen, Reyna, Cypher, Sage, Raze"
2021,Sentinels,Luminosity,Sentinels,Icebox,13,6,"Jett, Omen, Reyna, Sage, Sova","Omen, Raze, Reyna, Sage, Sova","Reyna, Sova, Sage, Omen, Jett, Raze, Sage, Sova, Reyna, Omen"
2021,Immortals,100 Thieves,Immortals,Ascent,13,15,"Killjoy, Omen, Raze, Reyna, Sova","Killjoy, Omen, Raze, Sage, Sova","Raze, Omen, Killjoy, Sova, Reyna, Sage, Killjoy, Omen, Raze, Sova"
2021,Immortals,100 Thieves,100 Thieves,Haven,8,13,"Breach, Killjoy, Omen, Raze, Sova","Breach, Cypher, Omen, Raze, Sova","Breach, Sova, Omen, Killjoy, Raze, Omen, Raze, Breach, Sova, Cypher"
2021,Gen.G,XSET,Gen.G,Ascent,13,8,"Jett, Killjoy, Omen, Reyna, Sova","Cypher, Jett, Omen, Raze, Sova","Reyna, Jett, Sova, Killjoy, Omen, Raze, Jett, Omen, Cypher, Sova"
2021,Gen.G,XSET,Gen.G,Haven,13,11,"Cypher, Jett, Omen, Phoenix, Sova","Cypher, Jett, Omen, Raze, Sova","Cypher, Jett, Phoenix, Sova, Omen, Sova, Raze, Jett, Cypher, Omen"
2021,Luminosity,Immortals,Immortals,Split,11,13,"Cypher, Omen, Raze, Reyna, Sage","Killjoy, Omen, Raze, Reyna, Sage","Omen, Raze, Sage, Reyna, Cypher, Reyna, Raze, Omen, Killjoy, Sage"
2021,Luminosity,Immortals,Luminosity,Haven,13,9,"Cypher, Jett, Omen, Reyna, Sova","Breach, Killjoy, Omen, Raze, Sova","Jett, Reyna, Sova, Cypher, Omen, Raze, Omen, Breach, Sova, Killjoy"
2021,Luminosity,Immortals,Luminosity,Bind,13,10,"Cypher, Omen, Phoenix, Raze, Sova","Cypher, Omen, Raze, Reyna, Sova","Omen, Cypher, Raze, Phoenix, Sova, Omen, Reyna, Sova, Cypher, Raze"
2021,Envy,FaZe Clan,FaZe Clan,Icebox,6,13,"Killjoy, Omen, Phoenix, Raze, Sova","Jett, Omen, Raze, Sage, Sova","Raze, Omen, Sova, Killjoy, Phoenix, Raze, Jett, Sage, Omen, Sova"
